Name,Date of birth,Nationality,Team,League
Casemiro,1992-02-23,Brazil,Manchester United,Premier League
Scott McTominay,1996-12-08,Scotland,Manchester United,Premier League
Christian Eriksen,1992-02-14,Denmark,Manchester United,Premier League
Fred,1993-03-05,Brazil,Manchester United,Premier League
Donny van de Beek,1997-04-18,Netherlands,Manchester United,Premier League
Kobbie Mainoo,2005-04-19,England,Manchester United,Premier League
Bruno Fernandes,1994-09-08,Portugal,Manchester United,Premier League
Mason Mount,1999-01-10,England,Manchester United,Premier League
Hannibal,2003-01-21,Tunisia,Manchester United,Premier League
Marcus Rashford,1997-10-31,England,Manchester United,Premier League
Jadon Sancho,2000-03-25,England,Manchester United,Premier League
Alejandro Garnacho,2004-07-01,Argentina,Manchester United,Premier League
Antony,2000-02-24,Brazil,Manchester United,Premier League
Amad Diallo,2002-07-11,Cote d'Ivoire,Manchester United,Premier League
Facundo Pellistri,2001-12-20,Uruguay,Manchester United,Premier League
Shola Shoretire,2004-02-02,England,Manchester United,Premier League
Mason Greenwood,2001-10-01,England,Manchester United,Premier League
Anthony Martial,1995-12-05,France,Manchester United,Premier League
Alisson,1992-10-02,Brazil,Liverpool FC,Premier League
Caoimhín Kelleher,1998-11-23,Ireland,Liverpool FC,Premier League
Adrián,1987-01-03,Spain,Liverpool FC,Premier League
Ibrahima Konaté,1999-05-25,France,Liverpool FC,Premier League
Virgil van Dijk,1991-07-08,Netherlands,Liverpool FC,Premier League
Joe Gomez,1997-05-23,England,Liverpool FC,Premier League
Joel Matip,1991-08-08,Cameroon,Liverpool FC,Premier League
Nathaniel Phillips,1997-03-21,England,Liverpool FC,Premier League
Andrew Robertson,1994-03-11,Scotland,Liverpool FC,Premier League
Konstantinos Tsimikas,1996-05-12,Greece,Liverpool FC,Premier League
Trent Alexander-Arnold,1998-10-07,England,Liverpool FC,Premier League
Stefan Bajcetic,2004-10-22,Spain,Liverpool FC,Premier League
Alexis Mac Allister,1998-12-24,Argentina,Liverpool FC,Premier League
Curtis Jones,2001-01-30,England,Liverpool FC,Premier League
Thiago,1991-04-11,Spain,Liverpool FC,Premier League
Dominik Szoboszlai,2000-10-25,Hungary,Liverpool FC,Premier League
Harvey Elliott,2003-04-04,England,Liverpool FC,Premier League
Luis Díaz,1997-01-13,Colombia,Liverpool FC,Premier League
Cody Gakpo,1999-05-07,Netherlands,Liverpool FC,Premier League
Diogo Jota,1996-12-04,Portugal,Liverpool FC,Premier League
Mohamed Salah,1992-06-15,Egypt,Liverpool FC,Premier League
Darwin Núñez,1999-06-24,Uruguay,Liverpool FC,Premier League
Guglielmo Vicario,1996-10-07,Italy,Tottenham Hotspur,Premier League
Hugo Lloris,1986-12-26,France,Tottenham Hotspur,Premier League
Fraser Forster,1988-03-17,England,Tottenham Hotspur,Premier League
Alfie Whiteman,1998-10-02,England,Tottenham Hotspur,Premier League
Brandon Austin,1999-01-08,England,Tottenham Hotspur,Premier League
Cristian Romero,1998-04-27,Argentina,Tottenham Hotspur,Premier League
Eric Dier,1994-01-15,England,Tottenham Hotspur,Premier League
Davinson Sánchez,1996-06-12,Colombia,Tottenham Hotspur,Premier League
Joe Rodon,1997-10-22,Wales,Tottenham Hotspur,Premier League
Japhet Tanganga,1999-03-31,England,Tottenham Hotspur,Premier League
Destiny Udogie,2002-11-28,Italy,Tottenham Hotspur,Premier League
Ben Davies,1993-04-24,Wales,Tottenham Hotspur,Premier League
Sergio Reguilón,1996-12-16,Spain,Tottenham Hotspur,Premier League
Pedro Porro,1999-09-13,Spain,Tottenham Hotspur,Premier League
Emerson Royal,1999-01-14,Brazil,Tottenham Hotspur,Premier League
Djed Spence,2000-08-09,England,Tottenham Hotspur,Premier League
Oliver Skipp,2000-09-16,England,Tottenham Hotspur,Premier League
Pierre-Emile Höjbjerg,1995-08-05,Denmark,Tottenham Hotspur,Premier League
Rodrigo Bentancur,1997-06-25,Uruguay,Tottenham Hotspur,Premier League
Tanguy Ndombélé,1996-12-28,France,Tottenham Hotspur,Premier League
Yves Bissouma,1996-08-30,Mali,Tottenham Hotspur,Premier League
Pape Matar Sarr,2002-09-14,Senegal,Tottenham Hotspur,Premier League
Giovani Lo Celso,1996-04-09,Argentina,Tottenham Hotspur,Premier League
Ryan Sessegnon,2000-05-18,England,Tottenham Hotspur,Premier League
Ivan Perisic,1989-02-02,Croatia,Tottenham Hotspur,Premier League
James Maddison,1996-11-23,England,Tottenham Hotspur,Premier League
Heung-min Son,1992-07-08,"Korea, South",Tottenham Hotspur,Premier League
Manor Solomon,1999-07-24,Israel,Tottenham Hotspur,Premier League
Bryan Gil,2001-02-11,Spain,Tottenham Hotspur,Premier League
Dejan Kulusevski,2000-04-25,Sweden,Tottenham Hotspur,Premier League
Harry Kane,1993-07-28,England,Tottenham Hotspur,Premier League
Richarlison,1997-05-10,Brazil,Tottenham Hotspur,Premier League
Emiliano Martínez,1992-09-02,Argentina,Aston Villa,Premier League
Robin Olsen,1990-01-08,Sweden,Aston Villa,Premier League
Pau Torres,1997-01-16,Spain,Aston Villa,Premier League
Ezri Konsa,1997-10-23,England,Aston Villa,Premier League
Tyrone Mings,1993-03-13,England,Aston Villa,Premier League
Diego Carlos,1993-03-15,Brazil,Aston Villa,Premier League
Kortney Hause,1995-07-16,England,Aston Villa,Premier League
Lucas Digne,1993-07-20,France,Aston Villa,Premier League
Álex Moreno,1993-06-08,Spain,Aston Villa,Premier League
Matty Cash,1997-08-07,Poland,Aston Villa,Premier League
Calum Chambers,1995-01-20,England,Aston Villa,Premier League
Boubacar Kamara,1999-11-23,France,Aston Villa,Premier League
Leander Dendoncker,1995-04-15,Belgium,Aston Villa,Premier League
Jacob Ramsey,2001-05-28,England,Aston Villa,Premier League
Douglas Luiz,1998-05-09,Brazil,Aston Villa,Premier League
John McGinn,1994-10-18,Scotland,Aston Villa,Premier League
Youri Tielemans,1997-05-07,Belgium,Aston Villa,Premier League
Tim Iroegbunam,2003-06-30,England,Aston Villa,Premier League
Leon Bailey,1997-08-09,Jamaica,Aston Villa,Premier League
Philippe Coutinho,1992-06-12,Brazil,Aston Villa,Premier League
Jaden Philogene,2002-02-08,England,Aston Villa,Premier League
Moussa Diaby,1999-07-07,France,Aston Villa,Premier League
Emiliano Buendía,1996-12-25,Argentina,Aston Villa,Premier League
Bertrand Traoré,1995-09-06,Burkina Faso,Aston Villa,Premier League
Ollie Watkins,1995-12-30,England,Aston Villa,Premier League
Jhon Durán,2003-12-13,Colombia,Aston Villa,Premier League
Cameron Archer,2001-12-09,England,Aston Villa,Premier League
Keinan Davis,1998-02-13,England,Aston Villa,Premier League
Nick Pope,1992-04-19,England,Newcastle United,Premier League
Martin Dúbravka,1989-01-15,Slovakia,Newcastle United,Premier League
Loris Karius,1993-06-22,Germany,Newcastle United,Premier League
Mark Gillespie,1992-03-27,England,Newcastle United,Premier League
Sven Botman,2000-01-12,Netherlands,Newcastle United,Premier League
Fabian Schär,1991-12-20,Switzerland,Newcastle United,Premier League
Jamaal Lascelles,1993-11-11,England,Newcastle United,Premier League
Matt Targett,1995-09-18,England,Newcastle United,Premier League
Dan Burn,1992-05-09,England,Newcastle United,Premier League
Paul Dummett,1991-09-26,Wales,Newcastle United,Premier League
Kieran Trippier,1990-09-19,England,Newcastle United,Premier League
Emil Krafth,1994-08-02,Sweden,Newcastle United,Premier League
Javier Manquillo,1994-05-05,Spain,Newcastle United,Premier League
Harrison Ashby,2001-11-14,Scotland,Newcastle United,Premier League
Bruno Guimarães,1997-11-16,Brazil,Newcastle United,Premier League
Sandro Tonali,2000-05-08,Italy,Newcastle United,Premier League
Isaac Hayden,1995-03-22,England,Newcastle United,Premier League
Joelinton,1996-08-14,Brazil,Newcastle United,Premier League
Joe Willock,1999-08-20,England,Newcastle United,Premier League
Sean Longstaff,1997-10-30,England,Newcastle United,Premier League
Jeff Hendrick,1992-01-31,Ireland,Newcastle United,Premier League
Matt Ritchie,1989-09-10,Scotland,Newcastle United,Premier League
Elliot Anderson,2002-11-06,Scotland,Newcastle United,Premier League
Anthony Gordon,2001-02-24,England,Newcastle United,Premier League
Harvey Barnes,1997-12-09,England,Newcastle United,Premier League
Ryan Fraser,1994-02-24,Scotland,Newcastle United,Premier League
Miguel Almirón,1994-02-10,Paraguay,Newcastle United,Premier League
Jacob Murphy,1995-02-24,England,Newcastle United,Premier League
Garang Kuol,2004-09-15,Australia,Newcastle United,Premier League
Alexander Isak,1999-09-21,Sweden,Newcastle United,Premier League
Callum Wilson,1992-02-27,England,Newcastle United,Premier League
Robert Sánchez,1997-11-18,Spain,Brighton & Hove Albion,Premier League
Bart Verbruggen,2002-08-18,Netherlands,Brighton & Hove Albion,Premier League
Jason Steele,1990-08-18,England,Brighton & Hove Albion,Premier League
Tom McGill,2000-03-25,Canada,Brighton & Hove Albion,Premier League
Adam Webster,1995-01-04,England,Brighton & Hove Albion,Premier League
Lewis Dunk,1991-11-21,England,Brighton & Hove Albion,Premier League
Igor,1998-02-07,Brazil,Brighton & Hove Albion,Premier League
Jan Paul van Hecke,2000-06-08,Netherlands,Brighton & Hove Albion,Premier League
Pervis Estupiñán,1998-01-21,Ecuador,Brighton & Hove Albion,Premier League
Michal Karbownik,2001-03-13,Poland,Brighton & Hove Albion,Premier League
Tariq Lamptey,2000-09-30,Ghana,Brighton & Hove Albion,Premier League
Joël Veltman,1992-01-15,Netherlands,Brighton & Hove Albion,Premier League
Moisés Caicedo,2001-11-02,Ecuador,Brighton & Hove Albion,Premier League
Mahmoud Dahoud,1996-01-01,Germany,Brighton & Hove Albion,Premier League
Billy Gilmour,2001-06-11,Scotland,Brighton & Hove Albion,Premier League
Jakub Moder,1999-04-07,Poland,Brighton & Hove Albion,Premier League
Pascal Groß,1991-06-15,Germany,Brighton & Hove Albion,Premier League
Yasin Ayari,2003-10-06,Sweden,Brighton & Hove Albion,Premier League
Steven Alzate,1998-09-08,Colombia,Brighton & Hove Albion,Premier League
James Milner,1986-01-04,England,Brighton & Hove Albion,Premier League
Jensen Weir,2002-01-31,England,Brighton & Hove Albion,Premier League
Facundo Buonanotte,2004-12-23,Argentina,Brighton & Hove Albion,Premier League
Adam Lallana,1988-05-10,England,Brighton & Hove Albion,Premier League
Andy Moran,2003-10-15,Ireland,Brighton & Hove Albion,Premier League
Kaoru Mitoma,1997-05-20,Japan,Brighton & Hove Albion,Premier League
Simon Adingra,2002-01-01,Cote d'Ivoire,Brighton & Hove Albion,Premier League
Solly March,1994-07-20,England,Brighton & Hove Albion,Premier League
Julio Enciso,2004-01-23,Paraguay,Brighton & Hove Albion,Premier League
João Pedro,2001-09-26,Brazil,Brighton & Hove Albion,Premier League
Evan Ferguson,2004-10-19,Ireland,Brighton & Hove Albion,Premier League
Deniz Undav,1996-07-19,Germany,Brighton & Hove Albion,Premier League
Danny Welbeck,1990-11-26,England,Brighton & Hove Albion,Premier League
Aaron Connolly,2000-01-28,Ireland,Brighton & Hove Albion,Premier League
Andi Zeqiri,1999-06-22,Switzerland,Brighton & Hove Albion,Premier League
David Raya,1995-09-15,Spain,Brentford FC,Premier League
Mark Flekken,1993-06-13,Netherlands,Brentford FC,Premier League
Thomas Strakosha,1995-03-19,Albania,Brentford FC,Premier League
Ellery Balcombe,1999-10-15,England,Brentford FC,Premier League
Nathan Collins,2001-04-30,Ireland,Brentford FC,Premier League
Kristoffer Ajer,1998-04-17,Norway,Brentford FC,Premier League
Ethan Pinnock,1993-05-29,Jamaica,Brentford FC,Premier League
Mads Bech Sörensen,1999-01-07,Denmark,Brentford FC,Premier League
Ben Mee,1989-09-21,England,Brentford FC,Premier League
Zanka,1990-04-23,Denmark,Brentford FC,Premier League
Charlie Goode,1995-08-03,England,Brentford FC,Premier League
Rico Henry,1997-07-08,England,Brentford FC,Premier League
Aaron Hickey,2002-06-10,Scotland,Brentford FC,Premier League
Mads Roerslev,1999-06-24,Denmark,Brentford FC,Premier League
Vitaly Janelt,1998-05-10,Germany,Brentford FC,Premier League
Christian Nörgaard,1994-03-10,Denmark,Brentford FC,Premier League
Mathias Jensen,1996-01-01,Denmark,Brentford FC,Premier League
Josh Dasilva,1998-10-23,England,Brentford FC,Premier League
Frank Onyeka,1998-01-01,Nigeria,Brentford FC,Premier League
Shandon Baptiste,1998-04-08,Grenada,Brentford FC,Premier League
Yegor Yarmolyuk,2004-03-01,Ukraine,Brentford FC,Premier League
Yoane Wissa,1996-09-03,DR Congo,Brentford FC,Premier League
Mikkel Damsgaard,2000-07-03,Denmark,Brentford FC,Premier League
Keane Lewis-Potter,2001-02-22,England,Brentford FC,Premier League
Bryan Mbeumo,1999-08-07,Cameroon,Brentford FC,Premier League
Kevin Schade,2001-11-27,Germany,Brentford FC,Premier League
Sergi Canós,1997-02-02,Spain,Brentford FC,Premier League
Ivan Toney,1996-03-16,England,Brentford FC,Premier League
Gianluigi Donnarumma,1999-02-25,Italy,Paris Saint-Germain,Ligue 1
Arnau Tenas,2001-05-30,Spain,Paris Saint-Germain,Ligue 1
Keylor Navas,1986-12-15,Costa Rica,Paris Saint-Germain,Ligue 1
Sergio Rico,1993-09-01,Spain,Paris Saint-Germain,Ligue 1
Alexandre Letellier,1990-12-11,France,Paris Saint-Germain,Ligue 1
Marquinhos,1994-05-14,Brazil,Paris Saint-Germain,Ligue 1
Milan Skriniar,1995-02-11,Slovakia,Paris Saint-Germain,Ligue 1
Lucas Hernández,1996-02-14,France,Paris Saint-Germain,Ligue 1
Presnel Kimpembe,1995-08-13,France,Paris Saint-Germain,Ligue 1
Abdou Diallo,1996-05-04,Senegal,Paris Saint-Germain,Ligue 1
Nuno Mendes,2002-06-19,Portugal,Paris Saint-Germain,Ligue 1
Juan Bernat,1993-03-01,Spain,Paris Saint-Germain,Ligue 1
Layvin Kurzawa,1992-09-04,France,Paris Saint-Germain,Ligue 1
Serif Nhaga,2005-09-01,Portugal,Paris Saint-Germain,Ligue 1
Achraf Hakimi,1998-11-04,Morocco,Paris Saint-Germain,Ligue 1
Nordi Mukiele,1997-11-01,France,Paris Saint-Germain,Ligue 1
Timothée Pembélé,2002-09-09,France,Paris Saint-Germain,Ligue 1
Colin Dagba,1998-09-09,France,Paris Saint-Germain,Ligue 1
Manuel Ugarte,2001-04-11,Uruguay,Paris Saint-Germain,Ligue 1
Leandro Paredes,1994-06-29,Argentina,Paris Saint-Germain,Ligue 1
Danilo Pereira,1991-09-09,Portugal,Paris Saint-Germain,Ligue 1
Vitinha,2000-02-13,Portugal,Paris Saint-Germain,Ligue 1
Marco Verratti,1992-11-05,Italy,Paris Saint-Germain,Ligue 1
Fabián Ruiz,1996-04-03,Spain,Paris Saint-Germain,Ligue 1
Carlos Soler,1997-01-02,Spain,Paris Saint-Germain,Ligue 1
Warren Zaïre-Emery,2006-03-08,France,Paris Saint-Germain,Ligue 1
Renato Sanches,1997-08-18,Portugal,Paris Saint-Germain,Ligue 1
Georginio Wijnaldum,1990-11-11,Netherlands,Paris Saint-Germain,Ligue 1
Edouard Michut,2003-03-04,France,Paris Saint-Germain,Ligue 1
Cher Ndour,2004-07-27,Italy,Paris Saint-Germain,Ligue 1
Kang-in Lee,2001-02-19,"Korea, South",Paris Saint-Germain,Ligue 1
Ismaël Gharbi,2004-04-10,Spain,Paris Saint-Germain,Ligue 1
Neymar,1992-02-05,Brazil,Paris Saint-Germain,Ligue 1
Julian Draxler,1993-09-20,Germany,Paris Saint-Germain,Ligue 1
Djeidi Gassama,2003-09-10,France,Paris Saint-Germain,Ligue 1
Marco Asensio,1996-01-21,Spain,Paris Saint-Germain,Ligue 1
Kylian Mbappé,1998-12-20,France,Paris Saint-Germain,Ligue 1
Hugo Ekitiké,2002-06-20,France,Paris Saint-Germain,Ligue 1
Ilyes Housni,2005-05-14,France,Paris Saint-Germain,Ligue 1
Alfred Gomis,1993-09-05,Senegal,Stade Rennais FC,Ligue 1
Gauthier Gallon,1993-04-23,France,Stade Rennais FC,Ligue 1
Steve Mandanda,1985-03-28,France,Stade Rennais FC,Ligue 1
Geoffrey Lembet,1988-09-23,Central African Republic,Stade Rennais FC,Ligue 1
Arthur Theate,2000-05-25,Belgium,Stade Rennais FC,Ligue 1
Warmed Omari,2000-04-23,France,Stade Rennais FC,Ligue 1
Jeanuël Belocian,2005-02-17,France,Stade Rennais FC,Ligue 1
Christopher Wooh,2001-09-18,Cameroon,Stade Rennais FC,Ligue 1
Adrien Truffert,2001-11-20,France,Stade Rennais FC,Ligue 1
Birger Meling,1994-12-17,Norway,Stade Rennais FC,Ligue 1
Lorenz Assignon,2000-06-22,France,Stade Rennais FC,Ligue 1
Guéla Doué,2002-10-17,Cote d'Ivoire,Stade Rennais FC,Ligue 1
Baptiste Santamaria,1995-03-09,France,Stade Rennais FC,Ligue 1
Noah Françoise,2003-07-05,France,Stade Rennais FC,Ligue 1
Lovro Majer,1998-01-17,Croatia,Stade Rennais FC,Ligue 1
Flavien Tait,1993-02-02,France,Stade Rennais FC,Ligue 1
Xeka,1994-11-10,Portugal,Stade Rennais FC,Ligue 1
Benjamin Bourigeaud,1994-01-14,France,Stade Rennais FC,Ligue 1
Ludovic Blas,1997-12-31,France,Stade Rennais FC,Ligue 1
Enzo Le Fée,2000-02-03,France,Stade Rennais FC,Ligue 1
Désiré Doué,2005-06-03,France,Stade Rennais FC,Ligue 1
Martin Terrier,1997-03-04,France,Stade Rennais FC,Ligue 1
Ibrahim Salah,2001-08-30,Morocco,Stade Rennais FC,Ligue 1
Jérémy Doku,2002-05-27,Belgium,Stade Rennais FC,Ligue 1
Loum Tchaouna,2003-09-08,France,Stade Rennais FC,Ligue 1
Amine Gouiri,2000-02-16,France,Stade Rennais FC,Ligue 1
Arnaud Kalimuendo,2002-01-20,France,Stade Rennais FC,Ligue 1
Matthis Abline,2003-03-28,France,Stade Rennais FC,Ligue 1
Philipp Köhn,1998-04-02,Switzerland,AS Monaco,Ligue 1
Radoslaw Majecki,1999-11-16,Poland,AS Monaco,Ligue 1
Yann Lienard,2003-03-16,France,AS Monaco,Ligue 1
Axel Disasi,1998-03-11,France,AS Monaco,Ligue 1
Mohammed Salisu,1999-04-17,Ghana,AS Monaco,Ligue 1
Guillermo Maripán,1994-05-06,Chile,AS Monaco,Ligue 1
Chrislain Matsima,2002-05-15,France,AS Monaco,Ligue 1
Yllan Okou,2002-12-23,France,AS Monaco,Ligue 1
Caio Henrique,1997-07-31,Brazil,AS Monaco,Ligue 1
Ismail Jakobs,1999-08-17,Senegal,AS Monaco,Ligue 1
Vanderson,2001-06-21,Brazil,AS Monaco,Ligue 1
Ruben Aguilar,1993-04-26,France,AS Monaco,Ligue 1
Mohamed Camara,2000-01-06,Mali,AS Monaco,Ligue 1
Soungoutou Magassa,2003-10-08,France,AS Monaco,Ligue 1
Youssouf Fofana,1999-01-10,France,AS Monaco,Ligue 1
Eliot Matazo,2002-02-15,Belgium,AS Monaco,Ligue 1
Edan Diop,2004-08-28,France,AS Monaco,Ligue 1
Félix Lemaréchal,2003-08-07,France,AS Monaco,Ligue 1
Aleksandr Golovin,1996-05-30,Russia,AS Monaco,Ligue 1
Eliesse Ben Seghir,2005-02-16,France,AS Monaco,Ligue 1
Maghnes Akliouche,2002-02-25,France,AS Monaco,Ligue 1
Takumi Minamino,1995-01-16,Japan,AS Monaco,Ligue 1
Krépin Diatta,1999-02-25,Senegal,AS Monaco,Ligue 1
Gelson Martins,1995-05-11,Portugal,AS Monaco,Ligue 1
Anthony Musaba,2000-12-06,Netherlands,AS Monaco,Ligue 1
Breel Embolo,1997-02-14,Switzerland,AS Monaco,Ligue 1
Wissam Ben Yedder,1990-08-12,France,AS Monaco,Ligue 1
Kevin Volland,1992-07-30,Germany,AS Monaco,Ligue 1
Myron Boadu,2001-01-14,Netherlands,AS Monaco,Ligue 1
Pau López,1994-12-13,Spain,Olympique Marseille,Ligue 1
Rubén Blanco,1995-07-25,Spain,Olympique Marseille,Ligue 1
Simon Ngapandouetnbu,2003-04-12,Cameroon,Olympique Marseille,Ligue 1
Chancel Mbemba,1994-08-08,DR Congo,Olympique Marseille,Ligue 1
Samuel Gigot,1993-10-12,France,Olympique Marseille,Ligue 1
Leonardo Balerdi,1999-01-26,Argentina,Olympique Marseille,Ligue 1
Isaak Touré,2003-03-28,France,Olympique Marseille,Ligue 1
Renan Lodi,1998-04-08,Brazil,Olympique Marseille,Ligue 1
Jordan Amavi,1994-03-09,France,Olympique Marseille,Ligue 1
Jonathan Clauss,1992-09-25,France,Olympique Marseille,Ligue 1
Pol Lirola,1997-08-13,Spain,Olympique Marseille,Ligue 1
Valentin Rongier,1994-12-07,France,Olympique Marseille,Ligue 1
Geoffrey Kondogbia,1993-02-15,Central African Republic,Olympique Marseille,Ligue 1
Pape Gueye,1999-01-24,Senegal,Olympique Marseille,Ligue 1
Mattéo Guendouzi,1999-04-14,France,Olympique Marseille,Ligue 1
Jordan Veretout,1993-03-01,France,Olympique Marseille,Ligue 1
Azzedine Ounahi,2000-04-19,Morocco,Olympique Marseille,Ligue 1
Ruslan Malinovskyi,1993-05-04,Ukraine,Olympique Marseille,Ligue 1
Amine Harit,1997-06-18,Morocco,Olympique Marseille,Ligue 1
Konrad de la Fuente,2001-07-16,United States,Olympique Marseille,Ligue 1
Cengiz Ünder,1997-07-14,Turkey,Olympique Marseille,Ligue 1
Ismaïla Sarr,1998-02-25,Senegal,Olympique Marseille,Ligue 1
François Mughe,2004-06-16,Cameroon,Olympique Marseille,Ligue 1
Vitinha,2000-03-15,Portugal,Olympique Marseille,Ligue 1
Iliman Ndiaye,2000-03-06,Senegal,Olympique Marseille,Ligue 1
Pierre-Emerick Aubameyang,1989-06-18,Gabon,Olympique Marseille,Ligue 1
Kasper Schmeichel,1986-11-05,Denmark,OGC Nice,Ligue 1
Marcin Bulka,1999-10-04,Poland,OGC Nice,Ligue 1
Teddy Boulhendi,2001-04-09,Algeria,OGC Nice,Ligue 1
Jean-Clair Todibo,1999-12-30,France,OGC Nice,Ligue 1
Youssouf Ndayishimiye,1998-10-27,Burundi,OGC Nice,Ligue 1
Dante,1983-10-18,Brazil,OGC Nice,Ligue 1
Melvin Bard,2000-11-06,France,OGC Nice,Ligue 1
Ayoub Amraoui,2004-05-14,Morocco,OGC Nice,Ligue 1
Jordan Lotomba,1998-09-29,Switzerland,OGC Nice,Ligue 1
Youcef Atal,1996-05-17,Algeria,OGC Nice,Ligue 1
Antoine Mendy,2004-05-27,France,OGC Nice,Ligue 1
Pablo Rosario,1997-01-07,Netherlands,OGC Nice,Ligue 1
Alexis Beka Beka,2001-03-29,France,OGC Nice,Ligue 1
Reda Belahyane,2004-06-01,France,OGC Nice,Ligue 1
Khéphren Thuram,2001-03-26,France,OGC Nice,Ligue 1
Hicham Boudaoui,1999-09-23,Algeria,OGC Nice,Ligue 1
Morgan Sanson,1994-08-18,France,OGC Nice,Ligue 1
Daouda Traoré,2006-07-22,France,OGC Nice,Ligue 1
Alexis Claude-Maurice,1998-06-06,France,OGC Nice,Ligue 1
Sofiane Diop,2000-06-09,France,OGC Nice,Ligue 1
Jérémie Boga,1997-01-03,Cote d'Ivoire,OGC Nice,Ligue 1
Billal Brahimi,2000-03-14,Algeria,OGC Nice,Ligue 1
Badredine Bouanani,2004-12-08,Algeria,OGC Nice,Ligue 1
Terem Moffi,1999-05-25,Nigeria,OGC Nice,Ligue 1
Gaëtan Laborde,1994-05-03,France,OGC Nice,Ligue 1
Evann Guessand,2001-07-01,France,OGC Nice,Ligue 1
