Name,Date of birth,Nationality,Team,League
Diogo Leite,1999-01-23,Portugal,1.FC Union Berlin,Bundesliga
Paul Jaeckel,1998-07-22,Germany,1.FC Union Berlin,Bundesliga
Robin Knoche,1992-05-22,Germany,1.FC Union Berlin,Bundesliga
Dominique Heintz,1993-08-15,Germany,1.FC Union Berlin,Bundesliga
Mathis Bruns,2004-03-31,Germany,1.FC Union Berlin,Bundesliga
Jérôme Roussillon,1993-01-06,Guadeloupe,1.FC Union Berlin,Bundesliga
Josip Juranovic,1995-08-16,Croatia,1.FC Union Berlin,Bundesliga
Christopher Trimmel,1987-02-24,Austria,1.FC Union Berlin,Bundesliga
Rani Khedira,1994-01-27,Germany,1.FC Union Berlin,Bundesliga
Lucas Tousart,1997-04-29,France,1.FC Union Berlin,Bundesliga
Alex Kral,1998-05-19,Czech Republic,1.FC Union Berlin,Bundesliga
Aljoscha Kemlein,2004-08-02,Germany,1.FC Union Berlin,Bundesliga
Janik Haberer,1994-04-02,Germany,1.FC Union Berlin,Bundesliga
Aïssa Laïdouni,1996-12-13,Tunisia,1.FC Union Berlin,Bundesliga
András Schäfer,1999-04-13,Hungary,1.FC Union Berlin,Bundesliga
Laurenz Dehl,2001-12-12,Germany,1.FC Union Berlin,Bundesliga
Brenden Aaronson,2000-10-22,United States,1.FC Union Berlin,Bundesliga
Milos Pantovic,1996-07-07,Serbia,1.FC Union Berlin,Bundesliga
Tim Skarke,1996-09-07,Germany,1.FC Union Berlin,Bundesliga
Sheraldo Becker,1995-02-09,Suriname,1.FC Union Berlin,Bundesliga
David-Datro Fofana,2002-12-22,Cote d'Ivoire,1.FC Union Berlin,Bundesliga
Jordan,1996-04-26,United States,1.FC Union Berlin,Bundesliga
Mikkel Kaufmann,2001-01-03,Denmark,1.FC Union Berlin,Bundesliga
Kevin Behrens,1991-02-03,Germany,1.FC Union Berlin,Bundesliga
Benedict Hollerbach,2001-05-17,Germany,1.FC Union Berlin,Bundesliga
Malick Sanogo,2004-06-30,United States,1.FC Union Berlin,Bundesliga
Noah Atubolu,2002-05-25,Germany,SC Freiburg,Bundesliga
Florian Müller,1997-11-13,Germany,SC Freiburg,Bundesliga
Benjamin Uphoff,1993-08-08,Germany,SC Freiburg,Bundesliga
Philipp Lienhart,1996-07-11,Austria,SC Freiburg,Bundesliga
Matthias Ginter,1994-01-19,Germany,SC Freiburg,Bundesliga
Kenneth Schmidt,2002-06-03,Germany,SC Freiburg,Bundesliga
Keven Schlotterbeck,1997-04-28,Germany,SC Freiburg,Bundesliga
Manuel Gulde,1991-02-12,Germany,SC Freiburg,Bundesliga
Max Rosenfelder,2003-02-10,Germany,SC Freiburg,Bundesliga
Christian Günter,1993-02-28,Germany,SC Freiburg,Bundesliga
Jordy Makengo,2001-08-03,France,SC Freiburg,Bundesliga
Kiliann Sildillia,2002-05-16,France,SC Freiburg,Bundesliga
Lukas Kübler,1992-08-30,Germany,SC Freiburg,Bundesliga
Yannik Keitel,2000-02-15,Germany,SC Freiburg,Bundesliga
Nicolas Höfler,1990-03-09,Germany,SC Freiburg,Bundesliga
Maximilian Eggestein,1996-12-08,Germany,SC Freiburg,Bundesliga
Merlin Röhl,2002-07-05,Germany,SC Freiburg,Bundesliga
Daniel-Kofi Kyereh,1996-03-08,Ghana,SC Freiburg,Bundesliga
Vincenzo Grifo,1993-04-07,Italy,SC Freiburg,Bundesliga
Noah Weißhaupt,2001-09-20,Germany,SC Freiburg,Bundesliga
Ritsu Doan,1998-06-16,Japan,SC Freiburg,Bundesliga
Roland Sallai,1997-05-22,Hungary,SC Freiburg,Bundesliga
Junior Adamu,2001-06-06,Austria,SC Freiburg,Bundesliga
Michael Gregoritsch,1994-04-18,Austria,SC Freiburg,Bundesliga
Lucas Höler,1994-07-10,Germany,SC Freiburg,Bundesliga
Alexander Nübel,1996-09-30,Germany,VfB Stuttgart,Bundesliga
Fabian Bredlow,1995-03-02,Germany,VfB Stuttgart,Bundesliga
Dennis Seimen,2005-12-01,Germany,VfB Stuttgart,Bundesliga
Florian Schock,2001-05-22,Germany,VfB Stuttgart,Bundesliga
Konstantinos Mavropanos,1997-12-11,Greece,VfB Stuttgart,Bundesliga
Hiroki Ito,1999-05-12,Japan,VfB Stuttgart,Bundesliga
Waldemar Anton,1996-07-20,Germany,VfB Stuttgart,Bundesliga
Dan-Axel Zagadou,1999-06-03,France,VfB Stuttgart,Bundesliga
Clinton Mola,2001-03-15,England,VfB Stuttgart,Bundesliga
Borna Sosa,1998-01-21,Croatia,VfB Stuttgart,Bundesliga
Maximilian Mittelstädt,1997-03-18,Germany,VfB Stuttgart,Bundesliga
Josha Vagnoman,2000-12-11,Germany,VfB Stuttgart,Bundesliga
Pascal Stenzel,1996-03-20,Germany,VfB Stuttgart,Bundesliga
Wataru Endo,1993-02-09,Japan,VfB Stuttgart,Bundesliga
Atakan Karazor,1996-10-13,Germany,VfB Stuttgart,Bundesliga
Enzo Millot,2002-07-17,France,VfB Stuttgart,Bundesliga
Nikolas Nartey,2000-02-22,Denmark,VfB Stuttgart,Bundesliga
Roberto Massimo,2000-10-12,Germany,VfB Stuttgart,Bundesliga
Woo-yeong Jeong,1999-09-20,"Korea, South",VfB Stuttgart,Bundesliga
Lilian Egloff,2002-08-20,Germany,VfB Stuttgart,Bundesliga
Genki Haraguchi,1991-05-09,Japan,VfB Stuttgart,Bundesliga
Laurin Ulrich,2005-01-31,Germany,VfB Stuttgart,Bundesliga
Momo Cissé,2002-10-17,Guinea,VfB Stuttgart,Bundesliga
Silas,1998-10-06,DR Congo,VfB Stuttgart,Bundesliga
Gil Dias,1996-09-28,Portugal,VfB Stuttgart,Bundesliga
Chris Führich,1998-01-09,Germany,VfB Stuttgart,Bundesliga
Jamie Leweling,2001-02-26,Germany,VfB Stuttgart,Bundesliga
Serhou Guirassy,1996-03-12,Guinea,VfB Stuttgart,Bundesliga
Juan José Perea,2000-02-23,Colombia,VfB Stuttgart,Bundesliga
Luca Pfeiffer,1996-08-20,Germany,VfB Stuttgart,Bundesliga
Thomas Kastanaras,2003-01-09,Germany,VfB Stuttgart,Bundesliga
Mohamed Sankoh,2003-10-16,Netherlands,VfB Stuttgart,Bundesliga
Jovan Milosevic,2005-07-31,Serbia,VfB Stuttgart,Bundesliga
Alex Meret,1997-03-22,Italy,SSC Napoli,Serie A
Pierluigi Gollini,1995-03-18,Italy,SSC Napoli,Serie A
Nikita Contini,1996-05-21,Italy,SSC Napoli,Serie A
Hubert Idasiak,2002-02-03,Poland,SSC Napoli,Serie A
Amir Rrahmani,1994-02-24,Kosovo,SSC Napoli,Serie A
Leo Østigård,1999-11-28,Norway,SSC Napoli,Serie A
Juan Jesus,1991-06-10,Brazil,SSC Napoli,Serie A
Nosa Edward Obaretin,2003-01-26,Italy,SSC Napoli,Serie A
Mathías Olivera,1997-10-31,Uruguay,SSC Napoli,Serie A
Mário Rui,1991-05-27,Portugal,SSC Napoli,Serie A
Giovanni Di Lorenzo,1993-08-04,Italy,SSC Napoli,Serie A
Alessandro Zanoli,2000-10-03,Italy,SSC Napoli,Serie A
Stanislav Lobotka,1994-11-25,Slovakia,SSC Napoli,Serie A
Diego Demme,1991-11-21,Germany,SSC Napoli,Serie A
Frank Anguissa,1995-11-16,Cameroon,SSC Napoli,Serie A
Piotr Zielinski,1994-05-20,Poland,SSC Napoli,Serie A
Eljif Elmas,1999-09-24,North Macedonia,SSC Napoli,Serie A
Michael Folorunsho,1998-02-07,Italy,SSC Napoli,Serie A
Coli Saco,2002-05-15,Mali,SSC Napoli,Serie A
Karim Zedadka,2000-06-09,Algeria,SSC Napoli,Serie A
Gianluca Gaetano,2000-05-05,Italy,SSC Napoli,Serie A
Khvicha Kvaratskhelia,2001-02-12,Georgia,SSC Napoli,Serie A
Alessio Zerbin,1999-03-03,Italy,SSC Napoli,Serie A
Antonio Cioffi,2002-12-19,Italy,SSC Napoli,Serie A
Hirving Lozano,1995-07-30,Mexico,SSC Napoli,Serie A
Matteo Politano,1993-08-03,Italy,SSC Napoli,Serie A
Giacomo Raspadori,2000-02-18,Italy,SSC Napoli,Serie A
Victor Osimhen,1998-12-29,Nigeria,SSC Napoli,Serie A
Giovanni Simeone,1995-07-05,Argentina,SSC Napoli,Serie A
Mike Maignan,1995-07-03,France,AC Milan,Serie A
Marco Sportiello,1992-05-10,Italy,AC Milan,Serie A
Devis Vásquez,1998-05-12,Colombia,AC Milan,Serie A
Andreas Jungdal,2002-02-22,Denmark,AC Milan,Serie A
Antonio Mirante,1983-07-08,Italy,AC Milan,Serie A
Fikayo Tomori,1997-12-19,England,AC Milan,Serie A
Pierre Kalulu,2000-06-05,France,AC Milan,Serie A
Malick Thiaw,2001-08-08,Germany,AC Milan,Serie A
Simon Kjaer,1989-03-26,Denmark,AC Milan,Serie A
Mattia Caldara,1994-05-05,Italy,AC Milan,Serie A
Theo Hernández,1997-10-06,France,AC Milan,Serie A
Fodé Ballo-Touré,1997-01-03,Senegal,AC Milan,Serie A
Davide Calabria,1996-12-06,Italy,AC Milan,Serie A
Alessandro Florenzi,1991-03-11,Italy,AC Milan,Serie A
Ismaël Bennacer,1997-12-01,Algeria,AC Milan,Serie A
Ruben Loftus-Cheek,1996-01-23,England,AC Milan,Serie A
Tijjani Reijnders,1998-07-29,Netherlands,AC Milan,Serie A
Tommaso Pobega,1999-07-15,Italy,AC Milan,Serie A
Rade Krunic,1993-10-07,Bosnia-Herzegovina,AC Milan,Serie A
Charles De Ketelaere,2001-03-10,Belgium,AC Milan,Serie A
Yacine Adli,2000-07-29,France,AC Milan,Serie A
Rafael Leão,1999-06-10,Portugal,AC Milan,Serie A
Chaka Traorè,2004-12-23,Cote d'Ivoire,AC Milan,Serie A
Christian Pulisic,1998-09-18,United States,AC Milan,Serie A
Samuel Chukwueze,1999-05-22,Nigeria,AC Milan,Serie A
Alexis Saelemaekers,1999-06-27,Belgium,AC Milan,Serie A
Junior Messias,1991-05-13,Brazil,AC Milan,Serie A
Luka Romero,2004-11-18,Argentina,AC Milan,Serie A
Noah Okafor,2000-05-24,Switzerland,AC Milan,Serie A
Divock Origi,1995-04-18,Belgium,AC Milan,Serie A
Lorenzo Colombo,2002-03-08,Italy,AC Milan,Serie A
Olivier Giroud,1986-09-30,France,AC Milan,Serie A
Marko Lazetic,2004-01-22,Serbia,AC Milan,Serie A
Wojciech Szczesny,1990-04-18,Poland,Juventus FC,Serie A
Mattia Perin,1992-11-10,Italy,Juventus FC,Serie A
Carlo Pinsoglio,1990-03-16,Italy,Juventus FC,Serie A
Bremer,1997-03-18,Brazil,Juventus FC,Serie A
Danilo,1991-07-15,Brazil,Juventus FC,Serie A
Federico Gatti,1998-06-24,Italy,Juventus FC,Serie A
Koni De Winter,2002-06-12,Belgium,Juventus FC,Serie A
Daniele Rugani,1994-07-29,Italy,Juventus FC,Serie A
Leonardo Bonucci,1987-05-01,Italy,Juventus FC,Serie A
Andrea Cambiaso,2000-02-20,Italy,Juventus FC,Serie A
Luca Pellegrini,1999-03-07,Italy,Juventus FC,Serie A
Alex Sandro,1991-01-26,Brazil,Juventus FC,Serie A
Gianluca Frabotta,1999-06-24,Italy,Juventus FC,Serie A
Mattia De Sciglio,1992-10-20,Italy,Juventus FC,Serie A
Manuel Locatelli,1998-01-08,Italy,Juventus FC,Serie A
Denis Zakaria,1996-11-20,Switzerland,Juventus FC,Serie A
Nicolò Rovella,2001-12-04,Italy,Juventus FC,Serie A
Enzo Barrenechea,2001-05-22,Argentina,Juventus FC,Serie A
Adrien Rabiot,1995-04-03,France,Juventus FC,Serie A
Nicolò Fagioli,2001-02-12,Italy,Juventus FC,Serie A
Weston McKennie,1998-08-28,United States,Juventus FC,Serie A
Paul Pogba,1993-03-15,France,Juventus FC,Serie A
Fabio Miretti,2003-08-03,Italy,Juventus FC,Serie A
Hans Nicolussi Caviglia,2000-06-18,Italy,Juventus FC,Serie A
Filip Kostic,1992-11-01,Serbia,Juventus FC,Serie A
Federico Chiesa,1997-10-25,Italy,Juventus FC,Serie A
Samuel Iling Junior,2003-10-04,England,Juventus FC,Serie A
Marley Aké,2001-01-05,France,Juventus FC,Serie A
Marko Pjaca,1995-05-06,Croatia,Juventus FC,Serie A
Timothy Weah,2000-02-22,United States,Juventus FC,Serie A
Matías Soulé,2003-04-15,Argentina,Juventus FC,Serie A
Dusan Vlahovic,2000-01-28,Serbia,Juventus FC,Serie A
Moise Kean,2000-02-28,Italy,Juventus FC,Serie A
Arkadiusz Milik,1994-02-28,Poland,Juventus FC,Serie A
Kaio Jorge,2002-01-24,Brazil,Juventus FC,Serie A
Filip Stankovic,2002-02-25,Serbia,Inter Milan,Serie A
Gabriel Brazão,2000-10-05,Brazil,Inter Milan,Serie A
Raffaele Di Gennaro,1993-10-03,Italy,Inter Milan,Serie A
Alessandro Bastoni,1999-04-13,Italy,Inter Milan,Serie A
Stefan de Vrij,1992-02-05,Netherlands,Inter Milan,Serie A
Yann Aurel Bisseck,2000-11-29,Germany,Inter Milan,Serie A
Francesco Acerbi,1988-02-10,Italy,Inter Milan,Serie A
Alessandro Fontanarosa,2003-02-07,Italy,Inter Milan,Serie A
Federico Dimarco,1997-11-10,Italy,Inter Milan,Serie A
Valentino Lazaro,1996-03-24,Austria,Inter Milan,Serie A
Matteo Darmian,1989-12-02,Italy,Inter Milan,Serie A
Kristjan Asllani,2002-03-09,Albania,Inter Milan,Serie A
Lucien Agoumé,2002-02-09,France,Inter Milan,Serie A
Nicolò Barella,1997-02-07,Italy,Inter Milan,Serie A
Hakan Calhanoglu,1994-02-08,Turkey,Inter Milan,Serie A
Davide Frattesi,1999-09-22,Italy,Inter Milan,Serie A
Stefano Sensi,1995-08-05,Italy,Inter Milan,Serie A
Giovanni Fabbian,2003-01-14,Italy,Inter Milan,Serie A
Henrikh Mkhitaryan,1989-01-21,Armenia,Inter Milan,Serie A
Denzel Dumfries,1996-04-18,Netherlands,Inter Milan,Serie A
Juan Cuadrado,1988-05-26,Colombia,Inter Milan,Serie A
Robin Gosens,1994-07-05,Germany,Inter Milan,Serie A
Joaquín Correa,1994-08-13,Argentina,Inter Milan,Serie A
Lautaro Martínez,1997-08-22,Argentina,Inter Milan,Serie A
Marcus Thuram,1997-08-06,France,Inter Milan,Serie A
Sebastiano Esposito,2002-07-02,Italy,Inter Milan,Serie A
Eddie Salcedo,2001-10-01,Italy,Inter Milan,Serie A
Marco Carnesecchi,2000-07-01,Italy,Atalanta BC,Serie A
Juan Musso,1994-05-06,Argentina,Atalanta BC,Serie A
Francesco Rossi,1991-04-27,Italy,Atalanta BC,Serie A
Giorgio Scalvini,2003-12-11,Italy,Atalanta BC,Serie A
Merih Demiral,1998-03-05,Turkey,Atalanta BC,Serie A
Caleb Okoli,2001-07-13,Italy,Atalanta BC,Serie A
Berat Djimsiti,1993-02-19,Albania,Atalanta BC,Serie A
Rafael Tolói,1990-10-10,Italy,Atalanta BC,Serie A
José Luis Palomino,1990-01-05,Argentina,Atalanta BC,Serie A
Giovanni Bonfanti,2003-01-17,Italy,Atalanta BC,Serie A
Joakim Maehle,1997-05-20,Denmark,Atalanta BC,Serie A
Mitchel Bakker,2000-06-20,Netherlands,Atalanta BC,Serie A
Sead Kolasinac,1993-06-20,Bosnia-Herzegovina,Atalanta BC,Serie A
Matteo Ruggeri,2002-07-11,Italy,Atalanta BC,Serie A
Brandon Soppy,2002-02-21,France,Atalanta BC,Serie A
Davide Zappacosta,1992-06-11,Italy,Atalanta BC,Serie A
Hans Hateboer,1994-01-09,Netherlands,Atalanta BC,Serie A
Nadir Zortea,1999-06-19,Italy,Atalanta BC,Serie A
Davide Ghislandi,2001-06-16,Italy,Atalanta BC,Serie A
Teun Koopmeiners,1998-02-28,Netherlands,Atalanta BC,Serie A
Marten de Roon,1991-03-29,Netherlands,Atalanta BC,Serie A
Éderson,1999-07-07,Brazil,Atalanta BC,Serie A
Michel Adopo,2000-07-19,France,Atalanta BC,Serie A
Alessandro Mallamo,1999-03-22,Italy,Atalanta BC,Serie A
Mario Pasalic,1995-02-09,Croatia,Atalanta BC,Serie A
Aleksey Miranchuk,1995-10-17,Russia,Atalanta BC,Serie A
Viktor Kovalenko,1996-02-14,Ukraine,Atalanta BC,Serie A
Nicolò Cambiaghi,2000-12-28,Italy,Atalanta BC,Serie A
Ebrima Colley,2000-02-01,The Gambia,Atalanta BC,Serie A
Ademola Lookman,1997-10-20,Nigeria,Atalanta BC,Serie A
Rasmus Højlund,2003-02-04,Denmark,Atalanta BC,Serie A
El Bilal Touré,2001-10-03,Mali,Atalanta BC,Serie A
Duván Zapata,1991-04-01,Colombia,Atalanta BC,Serie A
Luis Muriel,1991-04-16,Colombia,Atalanta BC,Serie A
Emmanuel Latte Lath,1999-01-01,Cote d'Ivoire,Atalanta BC,Serie A
Rui Patrício,1988-02-15,Portugal,AS Roma,Serie A
Mile Svilar,1999-08-27,Serbia,AS Roma,Serie A
Pietro Boer,2002-05-12,Italy,AS Roma,Serie A
Roger Ibañez,1998-11-23,Brazil,AS Roma,Serie A
Evan Ndicka,1999-08-20,Cote d'Ivoire,AS Roma,Serie A
Gianluca Mancini,1996-04-17,Italy,AS Roma,Serie A
Diego Llorente,1993-08-16,Spain,AS Roma,Serie A
Chris Smalling,1989-11-22,England,AS Roma,Serie A
Marash Kumbulla,2000-02-08,Albania,AS Roma,Serie A
Leonardo Spinazzola,1993-03-25,Italy,AS Roma,Serie A
Rasmus Kristensen,1997-07-11,Denmark,AS Roma,Serie A
Zeki Celik,1997-02-17,Turkey,AS Roma,Serie A
Rick Karsdorp,1995-02-11,Netherlands,AS Roma,Serie A
Bryan Cristante,1995-03-03,Italy,AS Roma,Serie A
Nemanja Matic,1988-08-01,Serbia,AS Roma,Serie A
Houssem Aouar,1998-06-30,Algeria,AS Roma,Serie A
Edoardo Bove,2002-05-16,Italy,AS Roma,Serie A
Gonzalo Villar,1998-03-23,Spain,AS Roma,Serie A
Nicola Zalewski,2002-01-23,Poland,AS Roma,Serie A
Lorenzo Pellegrini,1996-06-19,Italy,AS Roma,Serie A
Stephan El Shaarawy,1992-10-27,Italy,AS Roma,Serie A
Ola Solbakken,1998-09-07,Norway,AS Roma,Serie A
Paulo Dybala,1993-11-15,Argentina,AS Roma,Serie A
Tammy Abraham,1997-10-02,England,AS Roma,Serie A
Andrea Belotti,1993-12-20,Italy,AS Roma,Serie A
Pietro Terracciano,1990-03-08,Italy,ACF Fiorentina,Serie A
Michele Cerofolini,1999-01-04,Italy,ACF Fiorentina,Serie A
Nikola Milenkovic,1997-10-12,Serbia,ACF Fiorentina,Serie A
Lucas Martínez Quarta,1996-05-10,Argentina,ACF Fiorentina,Serie A
Luca Ranieri,1999-04-23,Italy,ACF Fiorentina,Serie A
Christian Dalle Mura,2002-02-02,Italy,ACF Fiorentina,Serie A
Fabiano Parisi,2000-11-09,Italy,ACF Fiorentina,Serie A
Cristiano Biraghi,1992-09-01,Italy,ACF Fiorentina,Serie A
Dodô,1998-11-17,Brazil,ACF Fiorentina,Serie A
Niccolò Pierozzi,2001-09-12,Italy,ACF Fiorentina,Serie A
Sofyan Amrabat,1996-08-21,Morocco,ACF Fiorentina,Serie A
Rolando Mandragora,1997-06-29,Italy,ACF Fiorentina,Serie A
Arthur Melo,1996-08-12,Brazil,ACF Fiorentina,Serie A
Gaetano Castrovilli,1997-02-17,Italy,ACF Fiorentina,Serie A
Alfred Duncan,1993-03-10,Ghana,ACF Fiorentina,Serie A
Giacomo Bonaventura,1989-08-22,Italy,ACF Fiorentina,Serie A
Marco Benassi,1994-09-08,Italy,ACF Fiorentina,Serie A
Antonin Barak,1994-12-03,Czech Republic,ACF Fiorentina,Serie A
Abdelhamid Sabiri,1996-11-28,Morocco,ACF Fiorentina,Serie A
Nicolás González,1998-04-06,Argentina,ACF Fiorentina,Serie A
Riccardo Sottil,1999-06-03,Italy,ACF Fiorentina,Serie A
Josip Brekalo,1998-06-23,Croatia,ACF Fiorentina,Serie A
Jonathan Ikoné,1998-05-02,France,ACF Fiorentina,Serie A
Aleksandr Kokorin,1991-03-19,Russia,ACF Fiorentina,Serie A
Arthur Cabral,1998-04-25,Brazil,ACF Fiorentina,Serie A
Christian Kouamé,1997-12-06,Cote d'Ivoire,ACF Fiorentina,Serie A
Luka Jovic,1997-12-23,Serbia,ACF Fiorentina,Serie A
Louis Munteanu,2002-06-16,Romania,ACF Fiorentina,Serie A
Gabriele Gori,1999-02-13,Italy,ACF Fiorentina,Serie A
Ivan Provedel,1994-03-17,Italy,SS Lazio,Serie A
Luís Maximiano,1999-01-05,Portugal,SS Lazio,Serie A
Marius Adamonis,1997-05-13,Lithuania,SS Lazio,Serie A
Alessio Furlanetto,2002-02-07,Italy,SS Lazio,Serie A
Nicolò Casale,1998-02-14,Italy,SS Lazio,Serie A
Alessio Romagnoli,1995-01-12,Italy,SS Lazio,Serie A
Patric,1993-04-17,Spain,SS Lazio,Serie A
Mario Gila,2000-08-29,Spain,SS Lazio,Serie A
Nicolò Armini,2001-03-07,Italy,SS Lazio,Serie A
Mohamed Fares,1996-02-15,Algeria,SS Lazio,Serie A
Dimitrije Kamenovic,2000-07-16,Serbia,SS Lazio,Serie A
Adam Marusic,1992-10-17,Montenegro,SS Lazio,Serie A
Manuel Lazzari,1993-11-29,Italy,SS Lazio,Serie A
Elseid Hysaj,1994-02-02,Albania,SS Lazio,Serie A
Romano Floriani,2003-01-27,Italy,SS Lazio,Serie A
Danilo Cataldi,1994-08-06,Italy,SS Lazio,Serie A
Marco Bertini,2002-08-07,Italy,SS Lazio,Serie A
Luis Alberto,1992-09-28,Spain,SS Lazio,Serie A
Marcos Antônio,2000-06-13,Brazil,SS Lazio,Serie A
Toma Basic,1996-11-25,Croatia,SS Lazio,Serie A
Matías Vecino,1991-08-24,Uruguay,SS Lazio,Serie A
Jean-Daniel Akpa Akpro,1992-10-11,Cote d'Ivoire,SS Lazio,Serie A
André Anderson,1999-09-23,Italy,SS Lazio,Serie A
Mattia Zaccagni,1995-06-16,Italy,SS Lazio,Serie A
Diego González,2003-01-07,Paraguay,SS Lazio,Serie A
Jony,1991-07-09,Spain,SS Lazio,Serie A
Felipe Anderson,1993-04-15,Brazil,SS Lazio,Serie A
Matteo Cancellieri,2002-02-12,Italy,SS Lazio,Serie A
Pedro,1987-07-28,Spain,SS Lazio,Serie A
Cristiano Lombardi,1995-08-19,Italy,SS Lazio,Serie A
Ciro Immobile,1990-02-20,Italy,SS Lazio,Serie A
Taty Castellanos,1998-10-03,Argentina,SS Lazio,Serie A
Alessio Cragno,1994-06-28,Italy,US Sassuolo,Serie A
Andrea Consigli,1987-01-27,Italy,US Sassuolo,Serie A
Gianluca Pegolo,1981-03-25,Italy,US Sassuolo,Serie A
Mattia Viti,2002-01-24,Italy,US Sassuolo,Serie A
Martin Erlic,1998-01-24,Croatia,US Sassuolo,Serie A
Ruan Tressoldi,1999-06-07,Brazil,US Sassuolo,Serie A
Ryan Flamingo,2002-12-31,Netherlands,US Sassuolo,Serie A
Gian Marco Ferrari,1992-05-15,Italy,US Sassuolo,Serie A
Kevin Miranda,2003-03-10,Italy,US Sassuolo,Serie A
Matías Viña,1997-11-09,Uruguay,US Sassuolo,Serie A
Rogério,1998-01-13,Brazil,US Sassuolo,Serie A
Jeremy Toljan,1994-08-08,Germany,US Sassuolo,Serie A
Filippo Missori,2004-03-24,Italy,US Sassuolo,Serie A
Maxime López,1997-12-04,France,US Sassuolo,Serie A
Matheus Henrique,1997-12-19,Brazil,US Sassuolo,Serie A
Daniel Boloca,1998-12-22,Romania,US Sassuolo,Serie A
Pedro Obiang,1992-03-27,Equatorial Guinea,US Sassuolo,Serie A
Yeferson Paz,2002-06-13,Colombia,US Sassuolo,Serie A
Nedim Bajrami,1999-02-28,Albania,US Sassuolo,Serie A
Kristian Thorstvedt,1999-03-13,Norway,US Sassuolo,Serie A
Cristian Volpato,2003-11-15,Italy,US Sassuolo,Serie A
Armand Laurienté,1998-12-04,France,US Sassuolo,Serie A
Emil Konradsen Ceide,2001-09-03,Norway,US Sassuolo,Serie A
Domenico Berardi,1994-08-01,Italy,US Sassuolo,Serie A
Andrea Pinamonti,1999-05-19,Italy,US Sassuolo,Serie A
Agustín Álvarez,2001-05-19,Uruguay,US Sassuolo,Serie A
Samuele Mulattieri,2000-10-07,Italy,US Sassuolo,Serie A
Janis Antiste,2002-08-18,France,US Sassuolo,Serie A
Grégoire Defrel,1991-06-17,France,US Sassuolo,Serie A
Vanja Milinković-Savić,1997-02-20,Serbia,Torino FC,Serie A
Mihai Popa,2000-10-12,Romania,Torino FC,Serie A
Etrit Berisha,1989-03-10,Albania,Torino FC,Serie A
Luca Gemello,2000-07-03,Italy,Torino FC,Serie A
Matteo Fiorenza,2003-06-15,Italy,Torino FC,Serie A
Perr Schuurs,1999-11-26,Netherlands,Torino FC,Serie A
Alessandro Buongiorno,1999-06-06,Italy,Torino FC,Serie A
David Zima,2000-11-08,Czech Republic,Torino FC,Serie A
Ricardo Rodríguez,1992-08-25,Switzerland,Torino FC,Serie A
Koffi Djidji,1992-11-30,Cote d'Ivoire,Torino FC,Serie A
Stephane Singo,2000-12-25,Cote d'Ivoire,Torino FC,Serie A
Raoul Bellanova,2000-05-17,Italy,Torino FC,Serie A
Mërgim Vojvoda,1995-02-01,Kosovo,Torino FC,Serie A
Samuele Ricci,2001-08-21,Italy,Torino FC,Serie A
Adrien Tamèze,1994-02-04,Cameroon,Torino FC,Serie A
Ivan Ilic,2001-03-17,Serbia,Torino FC,Serie A
Emirhan Ilkhan,2004-06-01,Turkey,Torino FC,Serie A
Karol Linetty,1995-02-02,Poland,Torino FC,Serie A
Gvidas Gineitis,2004-04-15,Lithuania,Torino FC,Serie A
Brian Bayeye,2000-06-30,France,Torino FC,Serie A
Simone Verdi,1992-07-12,Italy,Torino FC,Serie A
Krisztofer Horváth,2002-01-08,Hungary,Torino FC,Serie A
Nemanja Radonjic,1996-02-15,Serbia,Torino FC,Serie A
Yann Karamoh,1998-07-08,Cote d'Ivoire,Torino FC,Serie A
Demba Seck,2001-02-10,Senegal,Torino FC,Serie A
Antonio Sanabria,1996-03-04,Paraguay,Torino FC,Serie A
Pietro Pellegri,2001-03-17,Italy,Torino FC,Serie A
